headword,pos,cefr,tier,tier_name,amirnet_level,is_connector,source
last,determiner,A2,1,ליבה,1-2,,CEFR-J v1.5
last minute,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lasting,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lastly,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
last-minute,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
latecomer,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lately,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
latest,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
latter,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
laughter,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
launch,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
laundry,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lava,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
law,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lawful,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lawmaker,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lawn,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lawsuit,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lawyer,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lay,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
layabout,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
layer,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
laziness,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lead,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
leadership,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
leading,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
leaflet,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
league,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
leak,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lean,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
leap,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
learner,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
learning,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lease,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
leash,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
least,determiner,A2,1,ליבה,1-2,,CEFR-J v1.5
leather,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lecture,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lecturer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
leek,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
left-hand,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
legal,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
legally,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
legend,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legendary,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legislate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legislation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legislative,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legislator,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legislature,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
legitimate,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
leisure,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
leisurely,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lemon,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lemonade,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lend,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
length,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lengthen,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lengthy,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
leopard,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
less,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
lessen,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lest,conjunction,B2,3,הרחבה אקדמית,3,true,CEFR-J v1.5
lettuce,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
level,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
liar,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
liberal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
liberate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
liberation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
liberty,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
librarian,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
license/licence,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
lick,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lid,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lie,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
lifeguard,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lifeless,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lifelong,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lifestyle,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lifetime,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lift,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lighten,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lighter,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lighting,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lightly,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lightning,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
likely,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
likeness,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
likewise,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
limb,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
limit,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
limitation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
limited,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
limp,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
linen,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
liner,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
ling,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
linger,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
link,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lip,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
liquid,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
listener,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
liter/litre,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
literal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
literally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
literary,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
literature,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
litter,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lively,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
liver,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
load,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
loaf,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
loan,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lobby,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
local,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
locate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
location,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lock,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lodge,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
log,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
logic,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
logical,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
logo,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
loneliness,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
long-distance,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
long-term,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
loose,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
loosely,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lorry,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lose,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
loss,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lost,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
lottery,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
loud,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
loudly,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
loudspeaker,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lousy,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lover,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lovingly,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
low,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
lower,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
lowland,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
loyal,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
loyalty,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
luckily,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
lucrative,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
luggage,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lunchtime,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
lung,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lush,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
luxurious,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
luxury,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
lyric,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
lyrics,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mad,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
madam,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
madame,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
madness,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
maestro,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
magic,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
magical,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
magician,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
magnificent,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
magnify,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mailbox,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
main,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
main course,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mainly,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
maintain,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
maintenance,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
major,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
majority,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
maker,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
make-up,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
malady,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
malaria,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
male,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mall,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mama/mamma,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manage,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
management,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
manager,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mango,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manipulate,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mankind,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
manner,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mansion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manual,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manufacture,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manufacturer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
manufacturing,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
maple,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
marathon,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
marble,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
march,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
margin,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
marine,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mark,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
marked,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
market,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
marketing,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
marriage,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
married,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
marry,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
martial art,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
marvelous/marvellous,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
mash,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mask,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mass,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
massacre,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
massage,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
masseur,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
massive,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
master,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
masterpiece,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mastery,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mate,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
material,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mathematical,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mathematician,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mathematics,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mature,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mausoleum,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
max,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
maximum,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mayor,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
meaning,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
meaningful,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
means,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
meanwhile,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
measure,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
measurement,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mechanic,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mechanical,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mechanize/mechanise,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
medal,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
media,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
medical,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
medication,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
medieval/mediaeval,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mediocre,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
meditate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
meditation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
Mediterranean,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
medium,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
melody,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
melon,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
melt,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
member,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
membership,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
memorable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
memorial,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
memorize/memorise,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mend,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mental,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mentally,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mention,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mentor,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
menu,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
merchandise,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
merchant,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mercy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mere,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
merely,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
merge,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
merger,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mess,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
message board,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
messenger,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
messy,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
metal,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
metaphor,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
meter/metre,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
method,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
metric,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
micro,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microbe,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microcomputer,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
micrometer/micrometre,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microorganism,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microphone,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microscope,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microscopic,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microscopy,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
microwave,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
midday,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
middle-aged,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
midnight,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
midst,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
might,modal auxiliary,A2,1,ליבה,1-2,,CEFR-J v1.5
mighty,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
migration,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mild,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mile,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
military,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
mill,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
millimeter/millimetre,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
million,number,A2,1,ליבה,1-2,,CEFR-J v1.5
millionaire,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mimic,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mineral,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mineral water,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
miniature,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
minimize/minimise,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
minimum,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
minister,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
minor,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
minority,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mint,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
minus,preposition,B1,2,ליבה מורחבת,2-3,true,CEFR-J v1.5
miracle,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mirror,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mischief,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
misconception,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
miserable,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
misery,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
misfortune,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mislead,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
misleading,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
missile,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
missing,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
mission,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mist,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mistake,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mistreat,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mistrustful,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
misty,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
misunderstand,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
misunderstanding,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mix,verb,A2,1,ליבה,1-2,,CEFR-J v1.5
mixing bowl,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mixture,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mobility,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mock,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
modal verb/modal,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
model,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
modem,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
moderate,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
modern,adjective,A2,1,ליבה,1-2,,CEFR-J v1.5
modernization/modernisation,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
modernize/modernise,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
modest,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
modification,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
modify,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mogul,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
moisture,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mold/mould,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
molecule,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
momentarily,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
momentary,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
monastery,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
monitor,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
monk,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
monster,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
monthly,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
monument,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mood,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
moody,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
moonlight,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
moonscape,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
moral,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
morality,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
morally,adverb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
moreover,adverb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mortal,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mortar,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mortgage,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mortify,verb,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
mosque,noun,A2,1,ליבה,1-2,,CEFR-J v1.5
mosquito,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
moss,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
mostly,adverb,A2,1,ליבה,1-2,,CEFR-J v1.5
mother-in-law,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
motherland,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
motion,noun,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
motionless,adjective,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
motivate,verb,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
motivated,adjective,B2,3,הרחבה אקדמית,3,,CEFR-J v1.5
motivation,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
motive,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
motor,noun,B1,2,ליבה מורחבת,2-3,,CEFR-J v1.5
